level,start,end,name,link,prize
premier,20160602,20160911,2016 StarCraft II StarLeague Season 2,https://liquipedia.net/starcraft2/2016_StarCraft_II_StarLeague_Season_2/Main_Event,120000
premier,20160910,20160911,WCS Copa Intercontinental,https://liquipedia.net/starcraft2/WCS_Copa_Intercontinental,50000
premier,20160925,20160925,2016 WCS Korea Season 2 Cross Finals,https://liquipedia.net/starcraft2/2016_WCS_Korea_Season_2_Cross_Finals,25740
major,20160925,20160925,Kings of the North Season 3,https://liquipedia.net/starcraft2/Kings_of_the_North_Season_3,3832
premier,20160927,20161003,2016 KeSPA Cup,https://liquipedia.net/starcraft2/2016_KeSPA_Cup,49735
major,20161001,20161004,WESG 2016 - Asia-Pacific China Qualifier,https://liquipedia.net/starcraft2/World_Electronic_Sports_Games_2016/Asia-Pacific/China,8088
major,20161006,20161009,WESG 2016 - Europe  CIS Qualifier,https://liquipedia.net/starcraft2/World_Electronic_Sports_Games_2016/Europe_%26_CIS,27428
major,20161013,20161014,Copa América 2016 Grand Finals,https://liquipedia.net/starcraft2/Copa_America_2016/Finals,10000
major,20161020,20161021,TaKe's Penthouse Party,https://liquipedia.net/starcraft2/TaKe%27s_Penthouse_Party_1,4350
major,20161011,20161023,2016 Kung Fu Cup Season 2,https://liquipedia.net/starcraft2/Kung_Fu_Cup/2016/2,23000
major,20161021,20161023,WESG 2016 - North  South America Qualifier,https://liquipedia.net/starcraft2/World_Electronic_Sports_Games_2016/North_%26_South_America,27428
premier,20161027,20161105,2016 WCS Global Playoffs and Finals,https://liquipedia.net/starcraft2/2016_WCS_Global_Playoffs_and_Finals,500000
major,20160919,20161111,World Cyber Arena 2016: China Season 3,https://liquipedia.net/starcraft2/World_Cyber_Arena_2016/China/Season_3,15350
major,20161110,20161112,WESG 2016 - Asia-Pacific Qualifier,https://liquipedia.net/starcraft2/World_Electronic_Sports_Games_2016/Asia-Pacific,27428
major,20161111,20161113,World Cyber Arena StarCraft 2016 Americas Qualifier,https://liquipedia.net/starcraft2/World_Cyber_Arena_2016/Americas,13900
